genre_name,subgenre_name,provider_name,subgenre_percentage
Film,Action,C More Hits HD,0.19133395373354864
Film,Animation,C More Hits HD,0.005083280154022928
Film,Dokumentar,C More Hits HD,0.017957788113769725
Film,Drama,C More Hits HD,0.2840583922367534
Film,Familiefilm,C More Hits HD,0.020818819969906678
Film,Fantasy,C More Hits HD,0.026768975536313723
Film,Gyser,C More Hits HD,0.039986298241607675
Film,Komedie,C More Hits HD,0.15753519988951942
Film,Kortfilm,C More Hits HD,0.0007065702549086685
Film,Krig,C More Hits HD,0.0001308797738397508
Film,Krimi,C More Hits HD,0.06540260874980933
Film,Musical,C More Hits HD,0.008532909944786787
Film,Musik,C More Hits HD,0.001068610787923317
Film,Romantik,C More Hits HD,0.005363182346214009
Film,Science Fiction,C More Hits HD,0.0502425788911685
Film,Thriller,C More Hits HD,0.12500995137590748
Kultur & Historie,Film,C More Hits HD,0.04342658162154923
Kultur & Historie,Historie,C More Hits HD,0.3182662849681081
Kultur & Historie,Kunst,C More Hits HD,0.15450421040295984
Kultur & Historie,Magasin,C More Hits HD,0.48380292300738287
Underholdning,Underholdning,C More Hits HD,1.0
Børn & Ungdom,Animation,C More Hits HD,1.0
Dokumentar,Musik,C More Hits HD,0.15453614267525678
Dokumentar,Samfund,C More Hits HD,0.8454638573247432
Livsstil,Kendisser,C More Hits HD,1.0
Børn & Ungdom,Animation,Cartoon Network,0.9999512846276939
Børn & Ungdom,Småbørn,Cartoon Network,4.871537230606281e-05
Serier,Action,NRK 1 HD,0.014198134648982483
Serier,Drama,NRK 1 HD,0.2333100480417563
Serier,Fantasy,NRK 1 HD,0.01045633491285642
Serier,Komedie,NRK 1 HD,0.032267045195547454
Serier,Krimi,NRK 1 HD,0.6806976257735907
Serier,Romantik,NRK 1 HD,0.00946568935894481
Serier,Thriller,NRK 1 HD,0.014823525251849653
Serier,Ungdom,NRK 1 HD,0.004781596816472141
Nyheder & Aktualitet,Aktuelt,NRK 1 HD,0.0610805685685174
Nyheder & Aktualitet,Magasin,NRK 1 HD,0.019349505313804787
Nyheder & Aktualitet,Nyheder,NRK 1 HD,0.8418159052255153
Nyheder & Aktualitet,Politik,NRK 1 HD,0.07404484894488617
Nyheder & Aktualitet,Samfund,NRK 1 HD,0.000422755529217707
Nyheder & Aktualitet,Økonomi,NRK 1 HD,0.0032864164180585846
Underholdning,Diverse,NRK 1 HD,0.006281736305614786
Underholdning,Overnaturlig,NRK 1 HD,0.017824358904885512
Underholdning,Quiz,NRK 1 HD,0.10104112827150308
Underholdning,Spil og Lotteri,NRK 1 HD,0.010631759775915682
Underholdning,Talentshow,NRK 1 HD,0.09122813966925224
Underholdning,Talkshow,NRK 1 HD,0.15277823717480513
Underholdning,Underholdning,NRK 1 HD,0.6202146398980236
Livsstil,Forbrugerprogram,NRK 1 HD,0.0038180363773004417
Livsstil,Kendisser,NRK 1 HD,0.41504062384755497
Livsstil,Livsstil,NRK 1 HD,0.41095243691023275
Livsstil,Sundhed,NRK 1 HD,0.17018890286491178
Dokumentar,Kriminalprogram,NRK 1 HD,0.0070404071248650274
Dokumentar,Musik,NRK 1 HD,0.14997230833160566
Dokumentar,Raportage,NRK 1 HD,0.030158396792938275
Dokumentar,Samfund,NRK 1 HD,0.812828887750591
Natur & Videnskab,Miljø,NRK 1 HD,0.02180733053585265
Natur & Videnskab,Natur,NRK 1 HD,0.8811254121457911
Natur & Videnskab,Teknik,NRK 1 HD,0.03646017063649423
Natur & Videnskab,Undervisning,NRK 1 HD,0.0016447154776498068
Natur & Videnskab,Videnskab,NRK 1 HD,0.058962371204212244
Fritid,Antikviteter,NRK 1 HD,0.010438125089618753
Fritid,Hobby,NRK 1 HD,0.021359044553951306
Fritid,Hus & Have,NRK 1 HD,0.5004412787598
Fritid,Madlavning,NRK 1 HD,0.09824300609752537
Fritid,Rejseprogram,NRK 1 HD,0.3695185454991045
Humor & Satire,Humor,NRK 1 HD,1.0
Reality,Docu-soap,NRK 1 HD,0.5582504170928788
Reality,Reality,NRK 1 HD,0.44174958290712113
Sport,Anden sport,NRK 1 HD,0.1333896280473443
Sport,EM,NRK 1 HD,0.024273343879463536
Sport,Fodbold,NRK 1 HD,0.3004015137930749
Sport,Hestevæddeløb,NRK 1 HD,0.000364918226238305
Sport,Motorsport,NRK 1 HD,0.004562082321817048
Sport,NM,NRK 1 HD,0.024424638884570977
Sport,OL,NRK 1 HD,0.000290018172146726
Sport,Ridning,NRK 1 HD,0.00011010773575094272
Sport,Sejlads,NRK 1 HD,0.0008433832680369708
Sport,Skydning,NRK 1 HD,0.0027198546744532336
Sport,Sportsdokumentar,NRK 1 HD,0.009791803581457714
Sport,Sportsmagasin,NRK 1 HD,0.017017106040153895
Sport,VM,NRK 1 HD,0.02633109808666509
Sport,Vintersport,NRK 1 HD,0.45548050328882633
Børn & Ungdom,Animation,NRK 1 HD,0.018395798889602435
Børn & Ungdom,Blandede bolcher,NRK 1 HD,0.6123446331543398
Børn & Ungdom,Børneserier,NRK 1 HD,0.11484887267471607
Børn & Ungdom,Familieserie,NRK 1 HD,0.2054949042255531
Børn & Ungdom,Skolebørn,NRK 1 HD,0.015752645809896413
Børn & Ungdom,Småbørn,NRK 1 HD,0.029724465334614678
Børn & Ungdom,Undervisning,NRK 1 HD,0.0034386799112775036
Kultur & Historie,Arkitektur,NRK 1 HD,0.00771105074072614
Kultur & Historie,Civilisation,NRK 1 HD,0.07663657437391237
Kultur & Historie,Historie,NRK 1 HD,0.42670770765003296
Kultur & Historie,Kultur,NRK 1 HD,0.07029934459480242
Kultur & Historie,Kunst,NRK 1 HD,0.05454724449529381
Kultur & Historie,Magasin,NRK 1 HD,0.32383066554667134
Kultur & Historie,Religion,NRK 1 HD,0.04026741259856096
Film,Action,NRK 1 HD,0.06261947995511874
Film,Dokumentar,NRK 1 HD,0.08096601928582285
Film,Drama,NRK 1 HD,0.33321560096801234
Film,Familiefilm,NRK 1 HD,0.04088335224409451
Film,Fantasy,NRK 1 HD,0.002291681514610061
Film,Komedie,NRK 1 HD,0.27997854958351126
Film,Kortfilm,NRK 1 HD,0.01336236066847596
